Miner ID,Total IMC,Computing Power,Blocks Mined
Miner834,4.17,456,0
Miner835,2.33,255,0
Miner836,2.49,272,0
Miner837,4.36,477,0
Miner838,4.26,466,0
Miner839,0.96,105,0
Miner840,14.84,310,0
Miner841,1.66,181,0
Miner842,4.08,446,0
Miner843,4.02,439,0
Miner844,15.86,422,0
Miner845,0.98,107,0
Miner846,1.14,125,0
Miner847,4.51,493,0
Miner848,2.97,325,0
Miner849,2.41,263,0
Miner850,15.36,367,0
Miner851,4.31,471,0
Miner852,1.81,198,0
Miner853,15.28,359,0
Miner854,3.16,346,0
Miner855,2.91,318,0
Miner856,4.55,497,0
Miner857,3.51,384,0
Miner858,3.37,368,0
Miner859,1.25,137,0
Miner860,2.20,240,0
Miner861,2.20,241,0
Miner862,2.52,275,0
Miner863,1.58,173,0
Miner864,1.58,173,0
Miner865,2.80,306,0
Miner866,3.62,396,0
Miner867,4.55,497,0
Miner868,16.00,437,0
Miner869,3.37,368,0
Miner870,4.55,497,0
Miner871,14.44,267,0
Miner872,3.22,352,0
Miner873,3.47,379,0
Miner874,2.20,240,0
Miner875,2.49,272,0
Miner876,1.80,197,0
Miner877,16.09,447,0
Miner878,1.03,113,0
Miner879,2.99,327,0
Miner880,2.61,285,0
Miner881,1.61,176,0
Miner882,2.88,315,0
Miner883,3.27,358,0
Miner884,2.18,238,0
Miner885,1.47,161,0
Miner886,4.11,449,0
Miner887,15.70,404,0
Miner888,1.04,114,0
Miner889,14.09,228,0
Miner890,1.31,143,0
Miner891,3.83,419,0
Miner892,3.50,383,0
Miner893,2.75,301,0
Miner894,2.53,277,0
Miner895,3.88,424,0
Miner896,2.74,300,0
Miner897,1.98,216,0
Miner898,2.23,244,0
Miner899,3.51,384,0
Miner900,3.57,390,0
Miner901,1.63,178,0
Miner902,1.02,111,0
Miner903,3.51,384,0
Miner904,4.26,466,0
Miner905,1.29,141,0
Miner906,2.09,228,0
Miner907,1.25,137,0
Miner908,3.24,354,0
Miner909,2.52,275,0
Miner910,1.00,109,0
Miner911,2.49,272,0
Miner912,3.28,359,0
Miner913,1.83,200,0
Miner914,1.60,175,0
Miner915,2.27,248,0
Miner916,4.34,474,0
Miner917,2.44,267,0
Miner918,2.62,286,0
Miner919,2.69,294,0
Miner920,1.67,183,0
Miner921,2.26,247,0
Miner922,2.87,314,0
Miner923,14.14,234,0
Miner924,2.41,263,0
Miner925,16.51,493,0
Miner926,2.13,233,0
Miner927,2.79,305,0
Miner928,3.26,356,0
Miner929,14.60,284,0
Miner930,2.99,327,0
Miner931,2.09,229,0
Miner932,2.99,327,0
Miner933,1.76,192,0
Miner934,4.50,492,0
Miner935,3.29,360,0
Miner936,1.98,216,0
Miner937,2.94,321,0
Miner938,1.66,182,0
Miner939,1.55,169,0
Miner940,2.00,219,0
Miner941,3.27,358,0
Miner942,1.32,144,0
Miner943,4.21,460,0
Miner944,2.76,302,0
Miner945,2.20,241,0
Miner946,1.17,128,0
Miner947,1.24,136,0
Miner948,3.98,435,0
Miner949,3.16,346,0
Miner950,4.39,480,0
Miner951,3.20,350,0
Miner952,1.58,173,0
Miner953,3.10,339,0
Miner954,15.75,410,0
Miner955,1.84,201,0
Miner956,4.47,489,0
Miner957,4.44,485,0
Miner958,2.03,222,0
Miner959,16.10,448,0
Miner960,3.40,372,0
Miner961,4.52,494,0
Miner962,14.97,325,0
Miner963,3.62,396,0
Miner964,1.77,194,0
Miner965,1.40,153,0
Miner966,2.83,309,0
Miner967,1.28,140,0
Miner968,3.37,368,0
Miner969,2.44,267,0
Miner970,16.44,485,0
Miner971,1.22,133,0
Miner972,2.73,298,0
Miner973,4.18,457,0
Miner974,3.34,365,0
Miner975,2.33,255,0
Miner976,1.23,135,0
Miner977,0.98,107,0
Miner978,14.36,258,0
Miner979,2.98,326,0
Miner980,1.17,128,0
Miner981,1.23,134,0
Miner982,4.12,450,0
Miner983,1.12,123,0
Miner984,0.97,106,0
Miner985,2.73,298,0
Miner986,4.32,472,0
Miner987,3.32,363,0
Miner988,2.39,261,0
Miner989,2.63,288,0
Miner990,1.88,206,0
Miner991,1.35,148,0
Miner992,3.32,363,0
Miner993,1.45,159,0
Miner994,1.23,135,0
Miner995,3.97,434,0
Miner996,1.23,134,0
Miner997,3.93,430,0
Miner998,3.58,391,0
Miner999,0.99,108,0
Miner1000,4.50,492,0
